,Pitch 1,,Pitch 2,,Pitch 3,,
,Team 1,Team 2,Team 1,Team 2,Team 1,Team 2,
Round 1,School,Judde,Park,Hill Side,Parkside,Ferox,
,Manor,Welldon,Smythe,Whitworth,Cowdrey,Oakeshott,
,School,Park,Judde,Hill Side,Parkside,Welldon,
,Ferox,Whitworth,Smythe,Oakeshott,Manor,Cowdrey,
Round 2,School,Hill Side,Judde,Parkside,Park,Ferox,
,Welldon,Whitworth,Smythe,Cowdrey,Manor,Oakeshott,
,School,Parkside,Judde,Ferox,Hill Side,Welldon,
,Park,Whitworth,Smythe,Manor,Cowdrey,Oakeshott,
Round 3,School,Ferox,Judde,Welldon,Hill Side,Parkside,
,Park,Cowdrey,Smythe,Whitworth,Manor,Oakeshott,
,School,Welldon,Judde,Whitworth,Hill Side,Cowdrey,
,Parkside,Oakeshott,Ferox,Manor,Smythe,Park,
Round 4,School,Oakeshott,Judde,Manor,Hill Side,Ferox,
,Parkside,Smythe,Park,Welldon,Cowdrey,Whitworth,
,School,Manor,Judde,Cowdrey,Hill Side,Whitworth,
Round 5,Park,Oakeshott,Parkside,Ferox,Welldon,Smythe,
,School,Whitworth,Judde,Parkside,Hill Side,Oakeshott,
,Park,Manor,Welldon,Ferox,Smythe,Cowdrey,
,School,Smythe,Judde,Oakeshott,Hill Side,Parkside,
Round 6,Park,Ferox,Manor,Whitworth,Welldon,Cowdrey,
,School,Cowdrey,Judde,Park,Hill Side,Smythe,
,Ferox,Oakeshott,Manor,Welldon,Parkside,Whitworth,